length scale factor
3.2239200E-01
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
6.4925038E+00 3.2206961E-01 2.6029780E+02 6.4925038E+00
total extinction, absorption, scattering efficiencies (unpolarized incidence)
7.4164000E+00 3.9551000E-01 7.0208000E+00
theta     11          12          22          33          34          44
41.500000 3.0626000E-02 -3.6548000E-01 9.6830000E-01 8.9407000E-01 -3.2525000E-02 8.7724000E-01
42.000000 2.9957000E-02 -3.7306000E-01 9.6764000E-01 8.9092000E-01 -3.8160000E-02 8.7400000E-01
42.500000 2.9176000E-02 -3.8178000E-01 9.6692000E-01 8.8714000E-01 -4.0003000E-02 8.7011000E-01
43.000000 2.8682000E-02 -3.8907000E-01 9.6645000E-01 8.8403000E-01 -3.7011000E-02 8.6693000E-01
43.500000 2.8565000E-02 -3.9342000E-01 9.6626000E-01 8.8218000E-01 -3.4724000E-02 8.6500000E-01
44.000000 2.8328000E-02 -3.9791000E-01 9.6585000E-01 8.7991000E-01 -3.5720000E-02 8.6247000E-01
44.500000 2.7683000E-02 -4.0549000E-01 9.6494000E-01 8.7564000E-01 -3.7570000E-02 8.5786000E-01
45.000000 2.7087000E-02 -4.1366000E-01 9.6415000E-01 8.7073000E-01 -3.7359000E-02 8.5287000E-01
45.500000 2.7004000E-02 -4.1856000E-01 9.6408000E-01 8.6752000E-01 -3.4583000E-02 8.5001000E-01
46.000000 2.7153000E-02 -4.2231000E-01 9.6433000E-01 8.6529000E-01 -3.2165000E-02 8.4821000E-01
46.500000 2.7045000E-02 -4.2919000E-01 9.6419000E-01 8.6166000E-01 -3.3527000E-02 8.4483000E-01
47.000000 2.6725000E-02 -4.3836000E-01 9.6374000E-01 8.5661000E-01 -3.7086000E-02 8.3998000E-01
47.500000 2.6448000E-02 -4.4619000E-01 9.6337000E-01 8.5183000E-01 -3.6859000E-02 8.3545000E-01
48.000000 2.6134000E-02 -4.5290000E-01 9.6295000E-01 8.4735000E-01 -3.1424000E-02 8.3118000E-01
48.500000 2.5621000E-02 -4.6094000E-01 9.6214000E-01 8.4214000E-01 -2.6518000E-02 8.2601000E-01
49.000000 2.5016000E-02 -4.6980000E-01 9.6109000E-01 8.3666000E-01 -2.6103000E-02 8.2042000E-01
49.500000 2.4403000E-02 -4.7766000E-01 9.6010000E-01 8.3158000E-01 -2.7153000E-02 8.1510000E-01
50.000000 2.3642000E-02 -4.8526000E-01 9.5903000E-01 8.2575000E-01 -2.5698000E-02 8.0897000E-01
50.500000 2.2719000E-02 -4.9380000E-01 9.5771000E-01 8.1829000E-01 -2.2598000E-02 8.0124000E-01
51.000000 2.1875000E-02 -5.0238000E-01 9.5635000E-01 8.1051000E-01 -2.1214000E-02 7.9333000E-01
51.500000 2.1229000E-02 -5.1071000E-01 9.5516000E-01 8.0358000E-01 -2.2754000E-02 7.8634000E-01
52.000000 2.0670000E-02 -5.2004000E-01 9.5412000E-01 7.9664000E-01 -2.4719000E-02 7.7940000E-01
52.500000 2.0149000E-02 -5.2970000E-01 9.5323000E-01 7.8925000E-01 -2.3881000E-02 7.7222000E-01
53.000000 1.9702000E-02 -5.3776000E-01 9.5245000E-01 7.8215000E-01 -2.1649000E-02 7.6557000E-01
53.500000 1.9268000E-02 -5.4543000E-01 9.5144000E-01 7.7498000E-01 -2.3251000E-02 7.5877000E-01
54.000000 1.8804000E-02 -5.5489000E-01 9.5014000E-01 7.6676000E-01 -2.8384000E-02 7.5072000E-01
54.500000 1.8421000E-02 -5.6479000E-01 9.4905000E-01 7.5839000E-01 -2.9689000E-02 7.4247000E-01
55.000000 1.8179000E-02 -5.7329000E-01 9.4834000E-01 7.5090000E-01 -2.5501000E-02 7.3515000E-01
55.500000 1.7999000E-02 -5.8200000E-01 9.4757000E-01 7.4337000E-01 -2.3556000E-02 7.2789000E-01
56.000000 1.7868000E-02 -5.9179000E-01 9.4675000E-01 7.3549000E-01 -2.6258000E-02 7.2042000E-01
56.500000 1.7840000E-02 -6.0064000E-01 9.4639000E-01 7.2821000E-01 -2.6402000E-02 7.1361000E-01
57.000000 1.7812000E-02 -6.0887000E-01 9.4628000E-01 7.2043000E-01 -2.1882000E-02 7.0619000E-01
57.500000 1.7668000E-02 -6.1918000E-01 9.4586000E-01 7.1063000E-01 -1.8921000E-02 6.9660000E-01
58.000000 1.7538000E-02 -6.2987000E-01 9.4549000E-01 7.0130000E-01 -1.8859000E-02 6.8766000E-01
58.500000 1.7535000E-02 -6.3686000E-01 9.4569000E-01 6.9519000E-01 -1.7201000E-02 6.8222000E-01
59.000000 1.7470000E-02 -6.4208000E-01 9.4587000E-01 6.8924000E-01 -1.5060000E-02 6.7690000E-01
59.500000 1.7199000E-02 -6.4999000E-01 9.4542000E-01 6.8010000E-01 -1.6740000E-02 6.6815000E-01
60.000000 1.6919000E-02 -6.5874000E-01 9.4497000E-01 6.7093000E-01 -1.9781000E-02 6.5934000E-01
60.500000 1.6754000E-02 -6.6428000E-01 9.4507000E-01 6.6486000E-01 -1.9952000E-02 6.5373000E-01
61.000000 1.6491000E-02 -6.6912000E-01 9.4486000E-01 6.5785000E-01 -1.9944000E-02 6.4709000E-01
61.500000 1.6041000E-02 -6.7705000E-01 9.4370000E-01 6.4690000E-01 -2.2275000E-02 6.3625000E-01
62.000000 1.5673000E-02 -6.8500000E-01 9.4242000E-01 6.3675000E-01 -2.3629000E-02 6.2615000E-01
62.500000 1.5491000E-02 -6.8950000E-01 9.4164000E-01 6.3020000E-01 -2.3545000E-02 6.1974000E-01
63.000000 1.5244000E-02 -6.9452000E-01 9.4058000E-01 6.2156000E-01 -2.6081000E-02 6.1127000E-01
63.500000 1.4854000E-02 -7.0352000E-01 9.3891000E-01 6.0857000E-01 -2.9383000E-02 5.9828000E-01
64.000000 1.4572000E-02 -7.1239000E-01 9.3758000E-01 5.9779000E-01 -2.8814000E-02 5.8745000E-01
64.500000 1.4462000E-02 -7.1754000E-01 9.3681000E-01 5.9156000E-01 -2.8646000E-02 5.8123000E-01
65.000000 1.4294000E-02 -7.2278000E-01 9.3559000E-01 5.8284000E-01 -3.3491000E-02 5.7261000E-01
65.500000 1.4024000E-02 -7.3122000E-01 9.3389000E-01 5.6925000E-01 -3.6260000E-02 5.5924000E-01
66.000000 1.3845000E-02 -7.3983000E-01 9.3277000E-01 5.5690000E-01 -3.1831000E-02 5.4741000E-01
66.500000 1.3769000E-02 -7.4615000E-01 9.3226000E-01 5.4783000E-01 -2.9510000E-02 5.3918000E-01
67.000000 1.3637000E-02 -7.5234000E-01 9.3143000E-01 5.3749000E-01 -3.4513000E-02 5.2974000E-01
67.500000 1.3474000E-02 -7.5969000E-01 9.3040000E-01 5.2569000E-01 -3.6439000E-02 5.1863000E-01
68.000000 1.3415000E-02 -7.6662000E-01 9.2989000E-01 5.1620000E-01 -3.0485000E-02 5.0970000E-01
68.500000 1.3408000E-02 -7.7275000E-01 9.2952000E-01 5.0770000E-01 -2.7679000E-02 5.0190000E-01
69.000000 1.3302000E-02 -7.7906000E-01 9.2866000E-01 4.9671000E-01 -3.1767000E-02 4.9172000E-01
69.500000 1.3093000E-02 -7.8519000E-01 9.2758000E-01 4.8463000E-01 -3.1907000E-02 4.8031000E-01
70.000000 1.2835000E-02 -7.9056000E-01 9.2658000E-01 4.7355000E-01 -2.5241000E-02 4.6977000E-01
70.500000 1.2520000E-02 -7.9568000E-01 9.2523000E-01 4.6193000E-01 -2.2122000E-02 4.5880000E-01
71.000000 1.2188000E-02 -8.0036000E-01 9.2347000E-01 4.4978000E-01 -2.4610000E-02 4.4739000E-01
71.500000 1.1929000E-02 -8.0381000E-01 9.2186000E-01 4.3961000E-01 -2.3901000E-02 4.3781000E-01
72.000000 1.1729000E-02 -8.0738000E-01 9.2037000E-01 4.2935000E-01 -1.9999000E-02 4.2808000E-01
72.500000 1.1528000E-02 -8.1293000E-01 9.1870000E-01 4.1493000E-01 -2.0212000E-02 4.1443000E-01
73.000000 1.1385000E-02 -8.1931000E-01 9.1746000E-01 3.9922000E-01 -2.2154000E-02 3.9965000E-01
73.500000 1.1359000E-02 -8.2454000E-01 9.1724000E-01 3.8687000E-01 -1.9759000E-02 3.8808000E-01
74.000000 1.1335000E-02 -8.2943000E-01 9.1712000E-01 3.7457000E-01 -1.7282000E-02 3.7636000E-01
74.500000 1.1205000E-02 -8.3522000E-01 9.1616000E-01 3.5829000E-01 -1.9539000E-02 3.6055000E-01
75.000000 1.1054000E-02 -8.4073000E-01 9.1508000E-01 3.4209000E-01 -2.1722000E-02 3.4472000E-01
75.500000 1.0977000E-02 -8.4501000E-01 9.1471000E-01 3.2953000E-01 -2.0813000E-02 3.3252000E-01
76.000000 1.0895000E-02 -8.4939000E-01 9.1446000E-01 3.1587000E-01 -2.2309000E-02 3.1944000E-01
76.500000 1.0744000E-02 -8.5455000E-01 9.1372000E-01 2.9842000E-01 -2.7468000E-02 3.0266000E-01
77.000000 1.0619000E-02 -8.5917000E-01 9.1311000E-01 2.8251000E-01 -3.0315000E-02 2.8710000E-01
77.500000 1.0597000E-02 -8.6280000E-01 9.1308000E-01 2.7016000E-01 -3.0509000E-02 2.7485000E-01
78.000000 1.0607000E-02 -8.6676000E-01 9.1306000E-01 2.5575000E-01 -3.2915000E-02 2.6077000E-01
78.500000 1.0594000E-02 -8.7142000E-01 9.1276000E-01 2.3815000E-01 -3.5467000E-02 2.4385000E-01
79.000000 1.0613000E-02 -8.7574000E-01 9.1262000E-01 2.2285000E-01 -3.3652000E-02 2.2926000E-01
79.500000 1.0679000E-02 -8.7936000E-01 9.1267000E-01 2.1041000E-01 -3.1220000E-02 2.1743000E-01
80.000000 1.0719000E-02 -8.8265000E-01 9.1239000E-01 1.9605000E-01 -3.2426000E-02 2.0376000E-01
80.500000 1.0704000E-02 -8.8542000E-01 9.1177000E-01 1.7999000E-01 -3.2876000E-02 1.8849000E-01
81.000000 1.0681000E-02 -8.8736000E-01 9.1123000E-01 1.6615000E-01 -2.9168000E-02 1.7537000E-01
81.500000 1.0654000E-02 -8.8892000E-01 9.1072000E-01 1.5352000E-01 -2.6483000E-02 1.6335000E-01
