length scale factor
8.9040000E-03
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
1.7931422E-01 8.8950960E-03 6.0556471E-01 1.7931422E-01
total extinction, absorption, scattering efficiencies (unpolarized incidence)
1.9247000E-03 9.3078000E-04 9.9390000E-04
theta     11          12          22          33          34          44
57.000000 2.5352000E-01 -5.4180000E-01 9.9995000E-01 8.4045000E-01 8.8886000E-08 8.4042000E-01
57.500000 2.5181000E-01 -5.5129000E-01 9.9995000E-01 8.3425000E-01 9.0054000E-08 8.3422000E-01
58.000000 2.5012000E-01 -5.6083000E-01 9.9995000E-01 8.2787000E-01 9.1210000E-08 8.2784000E-01
58.500000 2.4844000E-01 -5.7040000E-01 9.9995000E-01 8.2130000E-01 9.2355000E-08 8.2127000E-01
59.000000 2.4678000E-01 -5.8001000E-01 9.9995000E-01 8.1454000E-01 9.3486000E-08 8.1451000E-01
59.500000 2.4513000E-01 -5.8964000E-01 9.9995000E-01 8.0760000E-01 9.4604000E-08 8.0757000E-01
60.000000 2.4350000E-01 -5.9930000E-01 9.9994000E-01 8.0046000E-01 9.5706000E-08 8.0043000E-01
60.500000 2.4188000E-01 -6.0898000E-01 9.9994000E-01 7.9312000E-01 9.6794000E-08 7.9309000E-01
61.000000 2.4028000E-01 -6.1867000E-01 9.9994000E-01 7.8558000E-01 9.7864000E-08 7.8555000E-01
61.500000 2.3869000E-01 -6.2837000E-01 9.9994000E-01 7.7784000E-01 9.8917000E-08 7.7781000E-01
62.000000 2.3713000E-01 -6.3808000E-01 9.9994000E-01 7.6989000E-01 9.9951000E-08 7.6987000E-01
62.500000 2.3558000E-01 -6.4779000E-01 9.9994000E-01 7.6174000E-01 1.0097000E-07 7.6171000E-01
63.000000 2.3405000E-01 -6.5750000E-01 9.9994000E-01 7.5338000E-01 1.0196000E-07 7.5335000E-01
63.500000 2.3254000E-01 -6.6720000E-01 9.9994000E-01 7.4480000E-01 1.0293000E-07 7.4478000E-01
64.000000 2.3104000E-01 -6.7688000E-01 9.9994000E-01 7.3601000E-01 1.0388000E-07 7.3599000E-01
64.500000 2.2957000E-01 -6.8654000E-01 9.9994000E-01 7.2701000E-01 1.0481000E-07 7.2698000E-01
65.000000 2.2811000E-01 -6.9618000E-01 9.9994000E-01 7.1778000E-01 1.0571000E-07 7.1776000E-01
65.500000 2.2668000E-01 -7.0579000E-01 9.9994000E-01 7.0834000E-01 1.0659000E-07 7.0831000E-01
66.000000 2.2526000E-01 -7.1536000E-01 9.9994000E-01 6.9867000E-01 1.0744000E-07 6.9865000E-01
66.500000 2.2387000E-01 -7.2489000E-01 9.9994000E-01 6.8878000E-01 1.0826000E-07 6.8876000E-01
67.000000 2.2250000E-01 -7.3436000E-01 9.9994000E-01 6.7867000E-01 1.0905000E-07 6.7864000E-01
67.500000 2.2115000E-01 -7.4378000E-01 9.9994000E-01 6.6833000E-01 1.0981000E-07 6.6831000E-01
68.000000 2.1982000E-01 -7.5314000E-01 9.9994000E-01 6.5777000E-01 1.1055000E-07 6.5774000E-01
68.500000 2.1851000E-01 -7.6243000E-01 9.9994000E-01 6.4697000E-01 1.1125000E-07 6.4695000E-01
69.000000 2.1723000E-01 -7.7165000E-01 9.9994000E-01 6.3595000E-01 1.1191000E-07 6.3593000E-01
69.500000 2.1597000E-01 -7.8078000E-01 9.9994000E-01 6.2471000E-01 1.1255000E-07 6.2469000E-01
70.000000 2.1473000E-01 -7.8982000E-01 9.9994000E-01 6.1323000E-01 1.1315000E-07 6.1321000E-01
70.500000 2.1352000E-01 -7.9877000E-01 9.9994000E-01 6.0153000E-01 1.1371000E-07 6.0151000E-01
71.000000 2.1233000E-01 -8.0761000E-01 9.9994000E-01 5.8961000E-01 1.1424000E-07 5.8958000E-01
71.500000 2.1116000E-01 -8.1635000E-01 9.9994000E-01 5.7745000E-01 1.1473000E-07 5.7743000E-01
72.000000 2.1002000E-01 -8.2496000E-01 9.9994000E-01 5.6508000E-01 1.1518000E-07 5.6505000E-01
72.500000 2.0890000E-01 -8.3345000E-01 9.9994000E-01 5.5247000E-01 1.1560000E-07 5.5245000E-01
73.000000 2.0781000E-01 -8.4181000E-01 9.9994000E-01 5.3965000E-01 1.1597000E-07 5.3963000E-01
73.500000 2.0674000E-01 -8.5003000E-01 9.9994000E-01 5.2661000E-01 1.1631000E-07 5.2659000E-01
74.000000 2.0570000E-01 -8.5811000E-01 9.9994000E-01 5.1334000E-01 1.1660000E-07 5.1332000E-01
74.500000 2.0468000E-01 -8.6603000E-01 9.9993000E-01 4.9987000E-01 1.1685000E-07 4.9985000E-01
75.000000 2.0369000E-01 -8.7379000E-01 9.9993000E-01 4.8617000E-01 1.1705000E-07 4.8616000E-01
75.500000 2.0272000E-01 -8.8138000E-01 9.9993000E-01 4.7227000E-01 1.1722000E-07 4.7225000E-01
76.000000 2.0179000E-01 -8.8879000E-01 9.9993000E-01 4.5817000E-01 1.1734000E-07 4.5815000E-01
76.500000 2.0087000E-01 -8.9602000E-01 9.9993000E-01 4.4385000E-01 1.1741000E-07 4.4384000E-01
77.000000 1.9999000E-01 -9.0307000E-01 9.9993000E-01 4.2934000E-01 1.1744000E-07 4.2933000E-01
77.500000 1.9913000E-01 -9.0991000E-01 9.9993000E-01 4.1464000E-01 1.1743000E-07 4.1462000E-01
78.000000 1.9830000E-01 -9.1655000E-01 9.9993000E-01 3.9974000E-01 1.1736000E-07 3.9972000E-01
78.500000 1.9749000E-01 -9.2299000E-01 9.9993000E-01 3.8466000E-01 1.1726000E-07 3.8464000E-01
79.000000 1.9672000E-01 -9.2920000E-01 9.9993000E-01 3.6939000E-01 1.1710000E-07 3.6938000E-01
79.500000 1.9597000E-01 -9.3519000E-01 9.9993000E-01 3.5396000E-01 1.1690000E-07 3.5394000E-01
80.000000 1.9525000E-01 -9.4095000E-01 9.9993000E-01 3.3835000E-01 1.1665000E-07 3.3833000E-01
80.500000 1.9455000E-01 -9.4647000E-01 9.9993000E-01 3.2257000E-01 1.1636000E-07 3.2256000E-01
81.000000 1.9389000E-01 -9.5175000E-01 9.9993000E-01 3.0664000E-01 1.1601000E-07 3.0663000E-01
81.500000 1.9325000E-01 -9.5678000E-01 9.9993000E-01 2.9056000E-01 1.1563000E-07 2.9055000E-01
82.000000 1.9264000E-01 -9.6156000E-01 9.9993000E-01 2.7433000E-01 1.1519000E-07 2.7432000E-01
82.500000 1.9206000E-01 -9.6608000E-01 9.9993000E-01 2.5797000E-01 1.1471000E-07 2.5796000E-01
83.000000 1.9150000E-01 -9.7034000E-01 9.9993000E-01 2.4147000E-01 1.1417000E-07 2.4146000E-01
83.500000 1.9098000E-01 -9.7432000E-01 9.9993000E-01 2.2486000E-01 1.1360000E-07 2.2484000E-01
84.000000 1.9048000E-01 -9.7803000E-01 9.9993000E-01 2.0812000E-01 1.1297000E-07 2.0811000E-01
84.500000 1.9002000E-01 -9.8146000E-01 9.9993000E-01 1.9128000E-01 1.1231000E-07 1.9127000E-01
85.000000 1.8958000E-01 -9.8461000E-01 9.9993000E-01 1.7434000E-01 1.1159000E-07 1.7433000E-01
85.500000 1.8917000E-01 -9.8748000E-01 9.9993000E-01 1.5731000E-01 1.1083000E-07 1.5730000E-01
86.000000 1.8878000E-01 -9.9005000E-01 9.9993000E-01 1.4020000E-01 1.1003000E-07 1.4019000E-01
86.500000 1.8843000E-01 -9.9233000E-01 9.9993000E-01 1.2301000E-01 1.0918000E-07 1.2301000E-01
87.000000 1.8811000E-01 -9.9432000E-01 9.9993000E-01 1.0576000E-01 1.0829000E-07 1.0576000E-01
87.500000 1.8781000E-01 -9.9601000E-01 9.9993000E-01 8.8457000E-02 1.0736000E-07 8.8452000E-02
88.000000 1.8754000E-01 -9.9740000E-01 9.9993000E-01 7.1104000E-02 1.0639000E-07 7.1098000E-02
88.500000 1.8730000E-01 -9.9849000E-01 9.9993000E-01 5.3712000E-02 1.0537000E-07 5.3708000E-02
89.000000 1.8709000E-01 -9.9927000E-01 9.9993000E-01 3.6292000E-02 1.0432000E-07 3.6288000E-02
89.500000 1.8691000E-01 -9.9975000E-01 9.9993000E-01 1.8852000E-02 1.0322000E-07 1.8849000E-02
90.000000 1.8676000E-01 -9.9993000E-01 9.9993000E-01 1.4025000E-03 1.0209000E-07 1.3997000E-03
90.500000 1.8663000E-01 -9.9980000E-01 9.9993000E-01 -1.6048000E-02 1.0093000E-07 -1.6050000E-02
91.000000 1.8654000E-01 -9.9937000E-01 9.9993000E-01 -3.3490000E-02 9.9727000E-08 -3.3492000E-02
91.500000 1.8647000E-01 -9.9863000E-01 9.9993000E-01 -5.0915000E-02 9.8491000E-08 -5.0916000E-02
92.000000 1.8643000E-01 -9.9759000E-01 9.9993000E-01 -6.8312000E-02 9.7222000E-08 -6.8313000E-02
92.500000 1.8642000E-01 -9.9625000E-01 9.9993000E-01 -8.5674000E-02 9.5922000E-08 -8.5673000E-02
93.000000 1.8644000E-01 -9.9461000E-01 9.9993000E-01 -1.0299000E-01 9.4592000E-08 -1.0299000E-01
93.500000 1.8648000E-01 -9.9267000E-01 9.9993000E-01 -1.2025000E-01 9.3233000E-08 -1.2025000E-01
94.000000 1.8656000E-01 -9.9044000E-01 9.9993000E-01 -1.3745000E-01 9.1846000E-08 -1.3745000E-01
94.500000 1.8666000E-01 -9.8791000E-01 9.9993000E-01 -1.5458000E-01 9.0433000E-08 -1.5457000E-01
95.000000 1.8679000E-01 -9.8509000E-01 9.9993000E-01 -1.7162000E-01 8.8996000E-08 -1.7162000E-01
